BILLY=enduring,lightborn,tinkerer
BLIGHT=dragonsGrip,hexBloodFavor,hexUndying
BUBBA=BBQAndChili,franklinsLoss,knockOut
CLOWN=bamboozle,coulrophobia,popGoesTheWeasel
DEMOGORGON=cruelConfinement,mindBreaker,surge
DOCTOR=generatorOvercharge,monitorAndAbuse,overwhelmingPresence
FREDDY=bloodWarden,fireup,rememberMe
GHOSTFACE=furtiveChase,imAllEars,thrillingTremors
GUNSLINGER=deadManSwitch,gearHead,hexRetribution
HAG=devourHope,ruin,theThirdSeal
HUNTRESS=BeaseOfPrey,HuntressLullaby,TerritorialImperative
LEGION=discordance,ironMaiden,madGrit
MICHAEL=dyingLight,playWithYourFood,saveTheBestForLast
NURSE=aNursesCalling,stridor,thatanophobia
ONI=bloodEcho,nemesis,zanshinTactics
PIG=hangmansTrick,makeYourChoice,surveillance
PLAGUE=corruptIntervention,darkDevotion,infectiousFright
PYRAMID=deathbound,forcedPenance,trailofTorment
SPIRIT=hatred,hauntedGround,spiritFury
TRAPPER=agitation,brutalStrength,unnervingPresence
WRAITH=bloodhound,predator,shadowborn
ALL=bitterMurmur,deerstalker,distressing,insidious,ironGrasp,monstrousShrine,noOneEscapesDeath,sloppyButcher,spiesFromTheShadows,thrillOfTheHunt,unrelenting,whispers
