ACE=aceInTheHole,openHanded,upTheAnte
ADAM=autodidact,deliverance,diversion
ASH=buckleup,flipFlop,mettleOfMan
BILL=borrowedTime,leftBehind,unbreakable
CHERYL=bloodPact,repressedAlliance,soulGuard
CLAUDETTE=botanyKnowledge,empathy,selfCare
DAVID=DeadHard 2,DeadHard,NoMither,WereGonnaLiveForever
DWIGHT=bond,leader,proveThyself
FELIX=builtToLast,desperateMeasures,visionary
FENG=alert,lithe,technician
JAKE=calmSpirit,ironWill,saboteur
JANE=headOn,poised,solidarity
JEFF=aftercare,breakdown,distortion
KATE=boilOver,danceWithMe,windowsOfOpportunity
LAURIE=decisiveStrike,objectOfObsession,soleSurvivor
MEG=adrenaline,sprintBurst,quickAndQuiet
NANCY=betterTogether,fixated,innerStrength
NEA=balancedLanding,streetwise,urbanEvasion
QUENTIN=pharmacy,vigil,wakeUp
STEVE=babySitter,camaraderie,secondWind
TAPP=detectivesHunch,stakeOut,tenacity
YUI=anyMeansNecessary,breakout,luckyBreak
ZARINA=forThePeople,offTheRecord,redHerring
ALL=darkSense,dejaVu,hope,kindred,lightweight,noOneLeftBehind,plunderersInstinct,premonition,resilience,slipperMeat,smallGame,spineChill,thisIsNotHappening,wellMakeIt
